DATA;INGRESSATS_UCI
2020-04-01;1432
2020-04-02;1475
2020-04-03;1480
2020-04-04;1469
2020-04-05;1504
2020-04-06;1528
2020-04-07;1526
2020-04-08;1507
2020-04-09;1501
2020-04-10;1436
2020-04-11;1428
2020-04-12;1409
2020-04-13;1383
2020-04-14;1339
2020-04-15;1275
2020-04-16;1263
2020-04-17;1214
2020-04-18;1165
2020-04-19;1124
2020-04-20;1070
2020-04-21;1048
2020-04-22;975
2020-04-23;921
2020-04-24;886
2020-04-25;853
2020-04-26;817
2020-04-27;764
2020-04-28;732
2020-04-29;686
2020-04-30;648
2020-05-01;609
2020-05-02;606
2020-05-03;579
2020-05-04;547
2020-05-05;501
2020-05-06;468
2020-05-07;437
2020-05-08;420
2020-05-09;401
2020-05-10;389
2020-05-11;380
2020-05-12;363
2020-05-13;350
2020-05-14;324
2020-05-15;301
2020-05-16;295
2020-05-17;293
2020-05-18;273
2020-05-19;263
2020-05-20;245
2020-05-21;232
2020-05-22;217
2020-05-23;210
2020-05-24;203
2020-05-25;197
2020-05-26;187
2020-05-27;187
2020-05-28;171
2020-05-29;164
2020-05-30;157
2020-05-31;162
2020-06-01;154
2020-06-02;149
2020-06-03;139
2020-06-04;129
2020-06-05;120
2020-06-06;118
2020-06-07;120
2020-06-08;117
2020-06-09;113
2020-06-10;103
2020-06-11;93
2020-06-12;83
2020-06-13;82
2020-06-14;82
2020-06-15;79
2020-06-16;74
2020-06-17;73
2020-06-18;67
2020-06-19;63
2020-06-20;61
2020-06-21;61
2020-06-22;62
2020-06-23;60
2020-06-24;57
2020-06-25;70
2020-06-26;55
2020-06-27;57
2020-06-28;56
2020-06-29;56
2020-06-30;52
2020-07-01;47
2020-07-02;44
2020-07-03;46
2020-07-04;42
2020-07-05;45
2020-07-06;43
2020-07-07;40
2020-07-08;41
2020-07-09;42
2020-07-10;42
2020-07-11;44
2020-07-12;46
2020-07-13;44
2020-07-14;48
2020-07-15;46
2020-07-16;50
2020-07-17;56
2020-07-18;56
2020-07-19;58
2020-07-20;55
2020-07-21;56
2020-07-22;57
2020-07-23;65
2020-07-24;71
2020-07-25;69
2020-07-26;76
2020-07-27;88
2020-07-28;89
2020-07-29;83
2020-07-30;88
2020-07-31;96
2020-08-01;95
2020-08-02;103
2020-08-03;114
